Image Name,Raw Output (All Detected Words),Number Plates,Confidence Score
vehicle\444R104022602036_vehicle.jpg,PP | THE,None detected,N/A
vehicle\444R104022602038_vehicle.jpg,ASHOK LEYLAN | TS12 UD 3371 | 1312UD337,TS12 UD 3371,99.88%
vehicle\444R104022602039_vehicle.jpg,TS08FW3131,TS08FW3131,95.17%
vehicle\444R104022602040_vehicle.jpg,9.5,None detected,N/A
vehicle\444R104022602041_vehicle.jpg,AT5923 | EUTECH6 | km/h,None detected,N/A
vehicle\444R104022602042_vehicle.jpg,O | TG 18 T 0732,TG 18 T 0732,92.7%
vehicle\444R104022602043_vehicle.jpg,ASHOKILEYLAND | L | 3 | 0 | G | UK08C | B1795,UK08C B1795,90.51%
vehicle\444R104022602045_vehicle.jpg,TATA | NL01A | J0044,NL01A J0044,97.33%
vehicle\444R104022602047_vehicle.jpg,1:01:18 | 20 RHS | ISUZU | a | AP39EK0030,None detected,N/A
vehicle\444R104022602048_vehicle.jpg,3 | Tax | 10 | 3 .,None detected,N/A
vehicle\444R104022602049_vehicle.jpg,1:01:30 | x | X | x | 20 RHS | BHARATBENZ | NL01A | 62213,None detected,N/A
vehicle\444R104022602051_vehicle.jpg,0 RHS | TS10EY4558,TS10EY4558,81.83%
vehicle\444R104022602052_vehicle.jpg,Speed: 79 km/h | Class: CAR | Plate: TS13EB4370 | Lane: 1 I CH: 444+420 RHS | Date: 2026-02-04 11:01:56 | .,TS13EB4370,99.02%
vehicle\444R104022602053_vehicle.jpg,80 | AARI | TG05 U 0294,None detected,N/A
vehicle\444R104022602054_vehicle.jpg,4+420 RHS | 06 | X | the | 3,None detected,N/A
vehicle\444R104022602055_vehicle.jpg,E | TS11EU7963 | 42,TS11EU7963,98.41%
vehicle\444R104022602057_vehicle.jpg,-420 RHS | MG | a AUT OMO | - - | TG10 T/,None detected,N/A
vehicle\444R104022602058_vehicle.jpg,XX | IND TS08 X9944,TS08 X9944,85.48%
vehicle\444R104022602059_vehicle.jpg,6-02-04 11:02:31 | CH: 444+420 RHS | 6Z0258 | ASHOK LEYLAND | km/h | TS 16 | Z0258,TS 16 Z0258,99.41%
vehicle\444R104022602060_vehicle.jpg,03:06 | RHS | TN.52 L.0083,TN52 L0083,98.99%
vehicle\444R104022602062_vehicle.jpg,and 4. | a | the | J,None detected,N/A
vehicle\444R104022602063_vehicle.jpg,TS08EA 8099,TS08EA 8099,96.35%
vehicle\444R104022602064_vehicle.jpg,4+420 RHS | 28 | ПТП | TS08JZ6328 | -,TS08JZ6328,91.97%
vehicle\444R104022602065_vehicle.jpg,IND TG 10D0272,TG 10D0272,81.7%
vehicle\444R104022602066_vehicle.jpg,TG 10 A 9999,TG 10 A 9999,98.62%
